id,name,video_url
neck_side_tilt,Neck Side Tilt,https://www.rehabhero.ca/exercise/pnf-cervical-lateral-flexion
neck_rotation_stretch,Neck Rotation Stretch,https://www.rehabhero.ca/exercise/pnf-cervical-rotation
chin_tuck,Chin Tuck,https://www.rehabhero.ca/exercise/chin-tuck
levator_scapulae_stretch,Levator Scapulae Stretch,https://www.rehabhero.ca/exercise/levator-scapulae-stretch
neck_flexion_stretch,Neck Flexion Stretch,https://www.rehabhero.ca/exercise/chin-tuck
upper_trapezius_stretch,Upper Trapezius Stretch,https://www.rehabhero.ca/exercise/upper-trapezius-stretch
sternocleidomastoid_stretch,Sternocleidomastoid (SCM) Stretch,https://www.rehabhero.ca/exercise/bilateral-sternocleidomastoid-stretch
neck_extension_stretch,Neck Extension Stretch,https://www.rehabhero.ca/exercise/pnf-cervical-lateral-flexion
occipital_release,Occipital Floor Release,https://www.rehabhero.ca/exercise/chin-tuck
neck_pnf_hold,Neck PNF Isometric Stretch,https://www.rehabhero.ca/exercise/pnf-cervical-lateral-flexion
cross_body_shoulder_stretch,Cross-Body Shoulder Stretch,https://www.rehabhero.ca/exercise/sleeper-stretch-pail
overhead_shoulder_stretch,Overhead Shoulder Stretch,https://www.rehabhero.ca/exercise/triceps-stretch
doorway_shoulder_stretch,Doorway Shoulder Stretch,https://www.rehabhero.ca/exercise/doorway-chest-stretch
sleeper_stretch,Sleeper Stretch,https://www.rehabhero.ca/exercise/sleeper-stretch-pail
shoulder_pendulum,Shoulder Pendulum (Codman Exercise),https://www.rehabhero.ca/exercise/shoulder-pendulum
eagle_arms,Eagle Arms (Garudasana Arms),https://www.rehabhero.ca/exercise/thread-the-needle
thread_the_needle,Thread the Needle,https://www.rehabhero.ca/exercise/thread-the-needle
cow_face_arms,Cow Face Arms (Gomukhasana Arms),https://www.rehabhero.ca/exercise/triceps-stretch
wall_chest_shoulder_stretch,Wall Chest and Shoulder Stretch,https://www.rehabhero.ca/exercise/doorway-chest-stretch
shoulder_band_pass_through,Resistance Band Shoulder Pass-Through,https://www.rehabhero.ca/exercise/wall-angel
shoulder_internal_rotation_wall,Wall Shoulder Internal Rotation Stretch,https://www.rehabhero.ca/exercise/shoulder-internal-rotation-wall-slide
floor_shoulder_overhead_stretch,Floor Shoulder Overhead Stretch,https://www.rehabhero.ca/exercise/floor-chest-stretch
shoulder_blade_pinch,Shoulder Blade Pinch,https://www.rehabhero.ca/exercise/wall-angel
doorway_pec_stretch,Doorway Pec Stretch,https://www.rehabhero.ca/exercise/doorway-chest-stretch
prone_chest_opener,Prone Chest Opener,https://www.rehabhero.ca/exercise/floor-chest-stretch
seated_chest_expansion,Seated Chest Expansion,https://www.rehabhero.ca/exercise/chest-opener
bridge_chest_opener,Bridge Chest Opener,https://www.rehabhero.ca/exercise/glute-bridge
supine_chest_stretch,Supine Chest Stretch,https://www.rehabhero.ca/exercise/floor-chest-stretch
pec_minor_corner_stretch,Pec Minor Corner Stretch,https://www.rehabhero.ca/exercise/doorway-chest-stretch
camel_pose,Camel Pose (Ustrasana),https://www.rehabhero.ca/exercise/tall-kneel-wall-extension
bow_pose,Bow Pose (Dhanurasana),https://www.rehabhero.ca/exercise/full-cobra
cat_cow,Cat-Cow Stretch,https://www.rehabhero.ca/exercise/cat-camel
childs_pose,Child's Pose (Balasana),https://www.rehabhero.ca/exercise/childs-pose
seated_thoracic_rotation,Seated Thoracic Rotation,https://www.rehabhero.ca/exercise/thoracic-rotations
open_book_stretch,Open Book Stretch,https://www.rehabhero.ca/exercise/thoracic-open-book
wall_angels,Wall Angels,https://www.rehabhero.ca/exercise/wall-angel
foam_roller_thoracic_extension,Foam Roller Thoracic Extension,https://www.rehabhero.ca/exercise/foam-roller-thoracic-extension
seated_upper_back_hug,Seated Upper Back Hug,https://www.rehabhero.ca/exercise/thoracic-rotations
standing_lat_stretch,Standing Lat Stretch,https://www.rehabhero.ca/exercise/doorway-side-stretch
thoracic_extension_chair,Thoracic Extension Over Chair Back,https://www.rehabhero.ca/exercise/bench-thoracic-extension
childs_pose_arm_reach,Child's Pose with Lateral Arm Reach,https://www.rehabhero.ca/exercise/childs-pose-side-stretch
